{app_name:'VCReg', level:debug, message:Morgan Stream | GET /_next/static/chunks/webpack-a79b55084825ca61.js 304 - - 4.708 ms, process_id:0, timestamp: 2024-09-03T19:29:05.995Z}
{app_name:'VCReg', level:debug, message:Morgan Stream | GET /_next/static/chunks/fd9d1056-5e7ae3b4a37004d0.js 304 - - 5.564 ms, process_id:0, timestamp: 2024-09-03T19:29:05.996Z}
{app_name:'VCReg', level:debug, message:Morgan Stream | GET /_next/static/css/77da69c3fc05e1fa.css 304 - - 5.778 ms, process_id:0, timestamp: 2024-09-03T19:29:05.997Z}
{app_name:'VCReg', level:debug, message:Morgan Stream | GET /_next/static/chunks/69-54c0e3f4bb17ec20.js 304 - - 1.110 ms, process_id:0, timestamp: 2024-09-03T19:29:06.000Z}
{app_name:'VCReg', level:debug, message:Morgan Stream | GET /_next/static/chunks/main-app-a7b94c2bd73ec7a0.js 304 - - 2.178 ms, process_id:0, timestamp: 2024-09-03T19:29:06.002Z}
{app_name:'VCReg', level:debug, message:Morgan Stream | GET /_next/static/media/Green.26974377.png 304 - - 2.310 ms, process_id:0, timestamp: 2024-09-03T19:29:06.006Z}
{app_name:'VCReg', level:debug, message:Morgan Stream | GET /_next/static/chunks/210-0046ae15cbf1cc18.js 304 - - 3.092 ms, process_id:0, timestamp: 2024-09-03T19:29:06.007Z}
{app_name:'VCReg', level:debug, message:Morgan Stream | GET /_next/static/chunks/678-3f90d081d5119afa.js 304 - - 1.519 ms, process_id:0, timestamp: 2024-09-03T19:29:06.011Z}
{app_name:'VCReg', level:debug, message:Morgan Stream | GET /_next/static/chunks/app/layout-d76ce3c1451a1007.js 304 - - 2.735 ms, process_id:0, timestamp: 2024-09-03T19:29:06.012Z}
{app_name:'VCReg', level:debug, message:Morgan Stream | GET /_next/static/chunks/842-cf433e8dbdc66895.js 200 56427 - 9.699 ms, process_id:0, timestamp: 2024-09-03T19:29:06.015Z}
{app_name:'VCReg', level:debug, message:Morgan Stream | GET /_next/static/chunks/app/RMUWizards/Employees/page-1fbc22c912360120.js 200 8258 - 11.782 ms, process_id:0, timestamp: 2024-09-03T19:29:06.017Z}
{app_name:'VCReg', level:debug, message:Morgan Stream | GET / 200 6982 - 3.519 ms, process_id:0, timestamp: 2024-09-03T19:30:28.563Z}
